Date,Open,High,Low,Close,Volume,Adj Close
2010-02-01,192.369995,205.169998,190.850006,204.619995,148467600,26.625412
2010-01-04,213.429993,215.589996,190.25,192.059998,215986100,24.991091
2009-12-01,202.23999,213.949997,188.680008,210.730011,133481400,27.420454
2009-11-02,189.800003,208.00,185.570007,199.910004,110995500,26.012541
2009-10-01,185.349991,208.709991,180.699997,188.50,155382900,24.527859
2009-09-01,167.990005,188.899994,164.110001,185.349991,125344100,24.117975
2009-08-03,165.210007,172.48999,159.419998,168.210007,100910200,21.887699
2009-07-01,143.50,165.00,134.420013,163.389999,129144000,21.260513
2009-06-01,136.470001,146.399994,132.880005,142.430008,148974900,18.533173
2009-05-01,125.799995,135.899994,119.379997,135.809998,123920900,17.671768
2009-04-01,104.089996,127.199997,103.889999,125.829994,146668700,16.373158
2009-03-02,88.120003,109.980003,82.330002,105.120003,181757700,13.678348
2009-02-02,89.100006,103.00,86.509995,89.309998,191764500,11.62113
2009-01-02,85.880005,97.169998,78.199997,90.129997,234465200,11.72783
2008-12-01,91.300003,103.599998,84.550003,85.349998,236606600,11.105849
2008-11-03,105.93,111.790001,79.139999,92.669998,314700400,12.058337
2008-10-01,111.919998,116.399994,85.00,107.589996,468331100,13.999747
2008-09-02,172.399994,173.50,100.589996,113.659996,305883800,14.789582
2008-08-01,159.899994,180.450012,152.910004,169.529999,162917200,22.059458
2008-07-01,164.229996,180.910004,146.529999,158.950012,231673400,20.682775
2008-06-02,188.600006,189.949997,164.150009,167.440002,239999900,21.787504
2008-05-01,174.959991,192.23999,172.00,188.75,228552300,24.560389
2008-04-01,146.300003,180.00,143.610001,173.949997,271892100,22.634594
2008-03-03,124.440002,145.73999,118.00,143.50,296191700,18.672401
2008-02-01,136.23999,136.589996,115.440002,125.020004,326517900,16.267761
2008-01-02,199.269989,200.26001,126.139999,135.360001,434756700,17.613214
2007-12-03,181.860001,202.959991,176.990005,198.079987,222400100,25.77442
